Etiq-Strain+Automat+CG+y
AB073912=swJ570. 3b.JPN.Tochigi.pig(*).CG.2000
AB108657=HE-JA18. 4c.JPN.Hokkaido.hum(*)
AB108661=swJL82. 3b.JPN.Hokkaido.pig(*)
AB108662=swJL97. 3b.JPN.Hokkaido.pig(*)
AB108664=swJL145. 4c.JPN.Hokkaido.pig(*)
AB108665=swJL234. 3a.JPN.Hokkaido.pig(*)
AB161717=JSM-Sap95. 4c.JPN.Hokkaido.hum(*).CG.1995
AB189070=JBOAR1-Hyo04. 3b.JPN.Hyogo.wb(*).CG.2004
AB189072=JMO-Hyo03L. 3b.JPN.Hyogo.hum(*).CG.2003
AB189073=JSO-Hyo03L. 3b.JPN.Hyogo.hum(*).CG.2003
AB189074=JTH-Hyo03L. 3b.JPN.Hyogo.hum.CG.2003
AB189075=JYO-Hyo03L. 3b.JPN.Hyogo.hum.CG.2003
AB193176=JSF-Tot03C. 4c.JPN.Tottori.hum(*).CG.2003
AB193177=JYN-Sap01C. 4c.JPN.Hokkaido.hum.CG.2001
AB193178=JYN-Nii02L. 4c.JPN.Niigata.hum.CG.2002
AB197673=JKO-ChiSai98C. 4a.CHN.Xian.hum.CG.1998
AB197674=JYI-ChiSai01C. 4a.CHN.Shanghai.hum.CG.2001
AB220971=HE-JF3. 4c.JPN.Mito.hum(*).CG.1998
AB220972=HE-JF4. 4c.JPN.Hokkaido.hum(*).CG.2002
AB220973=HE-JF5. 4c.JPN.Hokkaido.hum(*).CG.2002
AB220974=HE-JA2. 4f.JPN.Hokkaido.hum(*).CG
AB220975=HE-JA19. 4c.JPN.Hokkaido.hum(*).CG.2002
AB220976=HE-JA28. 4c.JPN.Hokkaido.hum.CG
AB220977=HE-JA36. 4c.JPN.Hokkaido.hum.CG
AB220978=HE-JA37. 4c.JPN.Hokkaido.hum.CG
AB220979=HE-JA41. 4c.JPN.Hokkaido.hum.CG.2004
AB221497=JBOAR278-Hyo04R+. 3b.JPN.Hyogo.wb.2004
AB221498=JBOAR280-Hyo04R+. 3b.JPN.Hyogo.wb.2004
AB221499=JBOAR316-Hyo04R+. 3b.JPN.Hyogo.wb.2004
AB221500=JBOAR318-Hyo04R+. 3b.JPN.Hyogo.wb.2004
AB221501=JBOAR323-Hyo04R+. 3b.JPN.Hyogo.wb
AB221502=JBOAR326-Hyo04R+. 3b.JPN.Hyogo.wb
AB221518=JSWINE150-Aom04. 3b.JPN.Aomori.pig
AB221519=JSWINE203-Aom04. 3b.JPN.Aomori.pig
AB221520=JSWINE150-Aom04R. 3b.JPN.Aomori.pig
AB221521=JSWINE203-Aom04R. 3b.JPN.Aomori.pig
AB221523=JHM-Iwa04R. 3a.JPN.Iwate.hum
AB221525=JKY-Iwa02R. 3a.JPN.Iwate.hum
AB221526=JNK-Iwa01R. 3a.JPN.Iwate.hum
AB221527=JYI-Iwa04R. 3b.JPN.Iwate.hum
AB222182=wbJSG1. 3b.JPN.Saga.wb.CG.2003
AB222183=wbJTS1. 3b.JPN.Tokushima.wb.CG.2004
AB222184=wbJYG1. 3b.JPN.Yamaguchi.wb.CG.2005
AB236320=JMNG-Oki02C. 3b.JPN.Okinawa.mong.CG.2002
AB246676=HEVN1. 3b.JPN.?hum.CG
AB248520=HE-JA04-1911. 3e.JPN.Mie.hum.CG.2004
AB248521=swJ8-5. 3e.JPN.Hokkaido.pig.CG
AB248522=swJ12-4. 3e.JPN.Hokkaido.pig.CG
AB253420=HEVN2. 4.JPN.Okinawa.hum.CG
AB290312=swMN06-A1288. 3h.MNG.pig.CG.2006
AB290313=swMN06-C1056. 3ef.MNG.pig.CG
AB291951=JIO-Sai97L. 3b.JPN.Saitama.hum.CG.1997
AB291952=JIY-Tot05L. 3b.JPN.Tottori.hum.CG.2005
AB291953=JSO-Oki05L. 3b.JPN.Okinawa.hum.CG.2005
AB291954=JSS-Oka04L. 3b.JPN.Okayama.hum.CG.2004
AB291955=JSW-Kyo-FH06L. 3b.JPN.Kyoto.hum.CG.2006
AB291956=JYM-Tot04L. 3b.JPN.Tottori.hum.CG.2004
AB291957=JYU-Oki04L. 3b.JPN.Okayama.hum.CG.2004
AB291958=JNH-Ehi04L. 3e.JPN.hum.CG.2004
AB291959=JTC-Kit-FH04L. 4c.JPN.Hokkaido.hum.CG.2004
AB291960=JTK-Kag06C. 3b.JPN.Kagawa.hum.CG.2006
AB291961=JMH-Osa04C. 3f.THA.hum.OMC.CG.2004
AB291962=JHK-Toy04C. 3b.JPN.Toyama.hum.CG.2004
AB291963=JRM-Toy05C. 3b.JPN.Toyama.hum.CG.2005
AB291964=JYK-Tok03C. 4.JPN.Tokio.hum.CG.2003
AB291966=JST-KitAsa04C. 4c.JPN.Hokkaido.hum.CG.2004
AB291967=JKO-Aba-FH06C. 4c.JPN.Hokkaido.hum.CG.2006
AB301710=JE03-1760F. 3b.JPN.hum.CG.2003
AB360348=HE-JA10. 3a.JPN.hum.1993
AB362839=JE03-1760F. 3b.JPN.cells.CG
AB362842=JE03-1760F. 3b.JPN.cells.CG
AB369687=E116-YKH98C. 3f.THA.hum.NNMC(*).CG.1998
AB369688=E087-SAP04C. 4.CHN.Shanghai.hum.CG.2004
AB369689=E088-STM04C. 3j.JPN.Saitama.hum.CG.2004
AB369690=E067-SIJ05C. 4i.CHN.Shanghai.hum.CG.2005
AB369691=E097-OSA05C. 3b.JPN.Osaka.hum.CG.2005
AB385842=HEV/HU/NL/2002-2520. 3c.NLD.hum.2002
AB385843=HEV/HU/NL/2004-0247. 3c.NLD.hum.2004
AB385844=HEV/HU/NL/2005-5810. 3c.NLD.hum.2005
AB385845=HEV/HU/NL/2005-6223. 3e.NLD.hum.2005
AB385846=HEV/HU/NL/2005-6992. 3a.NLD.hum.2005
AB385847=HEV/HU/NL/2006-0053. 3c.NLD.hum.2006
AB385848=HEV/HU/NL/2006-0083. 3c.NLD.hum.2006
AB385850=HEV/HU/NL/2006-0297. 3e.NLD.hum.2006
AB385851=HEV/HU/NL/2006-0890. 3c.NLD.hum.2006
AB385852=HEV/HU/NL/2006-1917. 3c.NLD.hum.2006
AB425830=JE03-1760F. 3b.JPN.cells.CG
AB425831=JE03-1760F. 3b.JPN.cells.CG
AB437316=JE03-1760F. 3b.JPN.hum.CG.2003
AB437319=JE03-1760F. 3b.JPN.hum.CG.2003
AB443623=JIO-swJ19. 3b.JPN.Miyazaki.pig.CG.2002
AB443624=JIO-swJ19-2. 3b.JPN.Miyazaki.pig.CG.2002
AB443625=JIO-swJ19-5. 3b.JPN.Miyazaki.pig.CG.2002
AB443626=JIO-swJ19. 3b.JPN.Miyazaki.pig.CG.2002
AB443627=JIO-swJ19. 3b.JPN.Miyazaki.pig.CG.2002
AB481226=swJB-E10. 3e.JPN.pig.CG
AB481227=swJB-H7. 4c.JPN.pig.CG
AB481228=swJB-M8. 3a.JPN.pig.CG
AB481229=swJR-P5. 3b.JPN.pig.CG
AB591733=JMNG26-Oki08. 3b.JPN.mongoose.CG.2008
AB591734=JMNG36-Oki08. 3a.JPN.mongoose.CG.2008
AB605180=wbJSG_03. 3b.JPN.wb
AB605181=wbJTS_04. 3b.JPN.wb
AB605182=wbJYG_05. 3b.JPN.wb
AB605183=wbJOY_06. 6.JPN.wb
AB605184=wbJSO_05-1. 3b.JPN.wb
AB605186=wbJSH_05. 3b.JPN.wb
AB605187=wbJFI_06. 3b.JPN.wb
AB605188=wbJYN_06-1. 3b.JPN.wb
AB605190=wbJOY_07-1. 3b.JPN.wb
AB605196=wbJNR_10. 3a.JPN.wb
AB605197=wbJNN_09. 3b.JPN.wb
AB605198=wbJFI_09. 3b.JPN.wb
AB605210=wbJSG_03. 3b.JPN.wb
AB605211=wbJTS_04. 3b.JPN.wb
AB605212=wbJYG_05. 3b.JPN.wb
AB605213=wbJOY_06. 6.JPN.wb
AB605214=wbJSO_05-1. 3b.JPN.wb
AB605216=wbJSH_05. 3b.JPN.wb
AB605217=wbJFI_06. 3b.JPN.wb
AB605218=wbJYN_06-1. 3b.JPN.wb
AB605220=wbJOY_07-1. 3b.JPN.wb
AB605226=wbJNR_10. 3a.JPN.wb
AB605227=wbJNN_09. 3b.JPN.wb
AB605228=wbJFI_09. 3b.JPN.wb
AB627907=JSS-Tok09. 3b.JPN.Tokio.hum.2009
AB627908=JKM-Tok10. 3e.JPN.Tokio.hum.2010
AB627909=JMH-Tok09. 3e.JPN.Tokio.hum.2009
AB627910=JTS-Tok10. 3b.JPN.Tokio.hum.2010
AB627911=JSY-Tok09. 3b.JPN.Tokio.hum.2009
AB630970=HRC-HE104. 3a.JPN.Hokkaido.hum.CG.2007
AB630971=JRC-HE3. 3b.JPN.Fukuoka.hum.CG.2003
AB698071=Type III Highland/2000. 3b.JPN.Tsukuba.pig.CG.2000
AB698654=JTF-Yamagu11. 4g.JPN.Yamaguchi.hum.CG.2011
AB720034=E11-Ban10. 1a.Rajshahi.hum.CG.2010
AB720035=E13-Ban10. 1a.Rajshahi.hum.CG.2010
AB740220=rbIM199. Rab.CHN.InnMong.rabbit.CG.2011
AB740221=rbIM022. Rab.CHN.InnMong.rabbit.CG.2011
AB740222=rbIM004. Rab.CHN.InnMong.rabbit.CG.2011
AB740232=G3-HEV83-2-27. 3j.JPN.pig.CG
AB780450=JBOAR100-Mie10. 3e.JPN.Mie.wb.CG.2010
AB780451=JBOAR107-Mie11. 3e.JPN.Mie.wb.CG.2011
AB780452=JBOAR111-Mie11. 3e.JPN.Mie.wb.CG.2011
AB780453=JBOAR124-Mie11. 3e.JPN.Mie.wb.CG.2011
AF028091=Hyderabad. 1a.IND
AF051351=93-Egypt. 1b.EGY.Cairo.hum.1993
AF051352=94-Egypt. 1a.EGY.Cairo.hum.1994
AF051830=TK15/92. 1a.NPL.Kathmandu.mac(*).CG.1992
AF058680=BCN. 1.ESP.Barcelona.sewage
AF058681=BCN. 1.ESP.Barcelona.sewage.1995
AF058683=BCN. 1a.ESP.Barcelona.sewage
AF058684=BCN. 1b.ESP.Barcelona.sewage
AF060668=HEV-US1. 3a.USA.hum(*).CG.1995
AF060669=HEV-US2. 3a.USA.hum(*).CG
AF065061=HEV-Morocco. 1d.MAR
AF076239=I3. 1a.IND.synth(*).CG.1990
AF082843=Meng. 3a.USA.pig(*).CG.1996
AF110387=It1. 3h.ITA.hum(*)
AF110388=G1. 3f.GRC.hum(*)
AF110389=G2. 3e.GRC.hum(*)
AF110390=It1. 3h.ITA.hum(*)
AF110391=G1. 3f.GRC.hum(*)
AF110392=G2. 3e.GRC.hum(*)
AF124407=AKL-90. 1.IND
AF141652=AF141652. 1.CHN.hum
AF185822=Abb-2B. 1a.PAK.hum(*).CG.1988
AF195061=VH1. 3f.ESP.hum(*)
AF195062=VH2. 3f.ESP.hum(*)
AF195063=E11. 3f.ESP.pig
AF195064=VH1. 3f.ESP.hum(*)
AF195065=VH2. 3f.ESP.hum(*)
AF200704=swNZ. 3h.NZL.pig(*)
AF215661S1=swNZ. 3h.NZL.pig(*)
AF264009=Ar1. 3l.ARG.hum(*)
AF264010=Ar2. 3l.ARG.hum(*)
AF264012=Ar2. 3l.ARG.hum(*)
AF279122=Au1. 3i.AUT.hum(*)
AF279123=Au1. 3i.AUT.hum(*)
AF296165=TW12SW. 3d.CHN.TWN.pig(*)
AF296166=TW13SW. 3d.CHN.TWN.pig(*)
AF296167=TW3SW. 3d.CHN.TWN.pig(*)
AF335998=NLSW11. 3f.NLD.pig(*).1998
AF335999=NLSW13. 3f.NLD.pig(*).1998
AF336000=NLSW15. 3f.NLD.pig(*).1998
AF336001=NLSW20. 3c.NLD.pig(*).1998
AF336002=NLSW22. 3a.NLD.pig(*).1998
AF336003=NLSW28. 3f.NLD.pig(*).1998
AF336004=NLSW36. 3c.NLD.pig(*).1998
AF336005=NLSW41. 3f.NLD.pig(*).1998
AF336006=NLSW50. 3f.NLD.pig(*).1998
AF336007=NLSW68. 3c.NLD.pig(*).1998
AF336008=NLSW76. 3f.NLD.pig(*).1998
AF336009=NLSW82. 3f.NLD.pig(*).1998
AF336010=NLSW85. 3f.NLD.pig(*).1998
AF336011=NLSW91. 3f.NLD.pig(*).1998
AF336012=NLSW99. 3c.NLD.pig(*).1998
AF336013=NLSW105. 3c.NLD.pig(*).1998
AF336014=NLSW122. 3a.NLD.pig(*).1998
AF336290=NLSW20. 3c.NLD.pig(*).1998
AF336293=NLSW36. 3c.NLD.pig(*).1998
AF336297=NLSW99. 3c.NLD.pig(*).1998
AF336298=NLSW105. 3c.NLD.pig(*).1998
AF444002=SAR-55(pSK-HEV-2). 1b.clon.CG
AF455784=Osh 205. 3g.KGZ.pig(*).CG
AF459438=Yam-67. 1a.IND.hum(*).CG.1989
AF490985=BCN3. 3f.ESP.sewage(*)
AF490986=BCN5. 3f.ESP.sewage(*)
AF490987=BCN6. 3f.ESP.sewage(*)
AF490988=BCN7. 3f.ESP.sewage
AF490989=BCN8. 3f.ESP.sewage
AF490990=BCN9. 3f.ESP.sewage
AF490991=BCN10. 3h.ESP.sewage
AF490992=BCN11. 3f.ESP.sewage
AF490993=BCN12. 3f.ESP.sewage(*)
AF490994=BCN13. 3f.ESP.sewage
AF490995=BCN14. 3f.ESP.sewage
AF490996=BCN15. 3a.ESP.sewage(*)
AF490997=BCN16. 3f.ESP.sewage(*)
AF490998=W1. 3a.USA.sewage(*)
AF490999=N1. 3e.FRA.Nancy.sewage(*)
AF491000=VH1. 3f.ESP.hum(*)
AF491001=VH2. 3f.ESP.hum(*)
AF491002=Por1. 3e.ESP.pig(*)
AF491003=BCN4. 3f.ESP.sewage(*)
AF491004=BCN2. 3f.ESP.sewage
AF521653=swAustralia. 3jab.AUS.pig(*)
AF521654=swMex. 3j.MEX.pig(*)
AJ272108=T1. 4d.CHN.Beijing.hum(*).CG
AJ889194=GerWW. 3f.DEU.hum.UReg
AJ889195=GerWW. 3f.DEU.hum.UReg
AJ889196=GerWW. 3f.DEU.hum.UReg
AJ889197=GerWW. 3f.DEU.hum.UReg
AP003430=JRA1. 3b.JPN.hum(*).CG
AY032756=NLSW68. 3c.NLD.pig(*).1998
AY032757=NLSW76. 3f.NLD.pig(*).1998
AY032758=NLSW50. 3f.NLD.pig(*).1998
AY032759=NLSW91. 3f.NLD.pig(*).1998
AY204877=T3. 1e.TCD.hum(*).CG.1983
AY230202=Morocco. 1d.MAR.hum(*).CG.1994
AY258006=swAr. 3l.ARG.pig(*)
AY286304=swAr. 3l.ARG.pig(*)
AY540113=VH3. 3f.ESP.hum(*)
AY540114=VH4. 3f.ESP.hum(*)
AY540115=VH5_ORF2. 1e.ESP.hum(*)
AY575857=pSHEV. 3a.USA.clon.CG.1996
AY575859=pSHEV. 3a.USA.clon.CG
AY594199=swCH25. 4d.CHN.Xinjian.pig(*).CG
AY723745=IND-SW-00-01. 4e.IND.pig.CG
AY753647=Ger-JS. 3a.DEU.hum.UReg
AY753648=Ger-JS. 3a.DEU.hum.UReg
AY940427=Hungary1. 3e.HUN.hum
D10330=Bur86 (HEVNE8L). 1a.Burma.mac-hum(*).CG.1989
D11092=CHT-88. 1b.CHN.Uighur.hum(*).CG.1987
D11093=Uigh179. 1b.CHN.Uighur.hum(*).CG.1987
DQ079624=Mya86-Li. 1a.MMR.hum
DQ079625=G3-Chi. 3a.JPN.hum
DQ079626=HTN-0618. 3b.JPN.hum
DQ079627=G3-pig-2712. 3a.JPN.pig
DQ079628=WB1-Aichi. 4i.JPN.wb
DQ079629=FF031605. 3b.JPN.hum
DQ079630=WB011905. 3b.JPN.wb
DQ079631=Li-G4-62. 4i.CHN.hum
DQ079632=G3-4531-Swine. 3j.JPN.pig
DQ200273=HEV/HU/NL/217. 3f.NLD.hum
DQ200275=HEV/HU/NL/2002-0576. 3c.NLD.hum.2002
DQ200276=HEV/HU/NL/2002-1650. 1a.NLD.hum
DQ200277=HEV/HU/NL/2003-0366. 3f.NLD.hum
DQ200278=HEV/HU/NL/2003-471413. 3f.NLD.hum
DQ200279=HEV/HU/NL/2004-0179. 3c.NLD.hum.2004
DQ200280=HEV/HU/NL/2004-0684. 3c.NLD.hum.2004
DQ200281=HEV/HU/NL/2004-0906. 1a.NLD.hum
DQ200282=HEV/HU/NL/2004-1232. 3c.NLD.hum.2004
DQ200283=HEV/HU/NL/2005-0182. 3c.NLD.hum.2005
DQ200284=HEV/HU/NL/2005-0397. 3c.NLD.hum.2005
DQ200285=HEV/HU/NL/2005-0440. 1a.NLD.hum
DQ200286=HEV/HU/NL/2005-0551. 1a.NLD.hum
DQ200287=HEV/HU/NL/2005-0560. 3c.NLD.hum.2005
DQ200288=HEV/HU/NL/2005-0586. 1a.NLD.hum
DQ200289=HEV/HU/NL/2005-0756. 3c.NLD.hum.2005
DQ200290=HEV/HU/NL/2005-0914. 1a.NLD.hum
DQ200291=HEV/HU/NL/2005-0915. 1a.NLD.hum
DQ200292=HEV/HU/NL/2005-0825. 3f.NLD.hum
DQ200293=HEV/HU/NL/2005-1169. 3c.NLD.hum.2005
DQ200294=HEV/HU/NL/DB31. 1a.NLD.hum
DQ200295=HEV/HU/NL/DB45. 3f.NLD.hum
DQ200296=HEV/HU/NL/3796. 1a.NLD.hum
DQ279091=swDQ. 4b.CHN.pig.CG
DQ294630=DQ294630. 4.CHN.Heilongjiang.pig
DQ315745=65103. 3f.ESP.pig
DQ315746=65203. 3f.ESP.pig
DQ315747=65703. 3f.ESP.pig
DQ315749=67503. 3f.ESP.pig
DQ315750=69003. 3f.ESP.pig
DQ315751=70603. 3f.ESP.pig
DQ315752=12804. 3f.ESP.pig
DQ315754=15204. 3f.ESP.pig
DQ315755=18004. 3e.ESP.pig
DQ315757=25604. 3f.ESP.pig
DQ315758=60304. 3f.ESP.pig
DQ315759=60504. 3f.ESP.pig
DQ315760=60604. 3f.ESP.pig
DQ315762=60804. 3f.ESP.pig
DQ315763=60904. 3f.ESP.pig
DQ315764=62904. 3f.ESP.pig
DQ315765=63004. 3f.ESP.pig
DQ315766=63104. 3f.ESP.pig
DQ315767=63404. 3f.ESP.pig
DQ315769=63604. 3f.ESP.pig
DQ315770=67204. 3f.ESP.pig
DQ445667=NZ_Case1. 3h.NZL.hum
DQ445668=NZ_Case2. 3e.NZL.hum
DQ450072=swCH31. 4i.CHN.pig.CG
DQ459342=PM2000. 1a.IND.hum.CG.2000
DQ916142=NLSWLiver21. 3c.NLD.pig
DQ916143=NLSWLiver25. 3f.NLD.pig
DQ916144=NLSWLiver27. 3e.NLD.pig
DQ996399=NLSWIE3. 3f.NLD.pig
EF077630=Ch-S-1. 4a.CHN.hum.CG
EF372524=HEV/SW/NL/2005-975. 3f.NLD.pig.2005
EF372525=HEV/SW/NL/2005-977. 3c.NLD.pig.2005
EF372526=HEV/SW/NL/2005-978. 3c.NLD.pig.2005
EF372527=HEV/SW/NL/2005-980. 3f.NLD.pig.2005
EF372528=HEV/SW/NL/2005-981. 3f.NLD.pig.2005
EF372529=HEV/SW/NL/2005-985. 3c.NLD.pig.2005
EF372530=HEV/SW/NL/2005-987. 3f.NLD.pig.2005
EF372531=HEV/SW/NL/2005-988. 3c.NLD.pig.2005
EF372532=HEV/SW/NL/2005-990. 3c.NLD.pig.2005
EF372533=HEV/SW/NL/2005-994. 3c.NLD.pig.2005
EF372534=HEV/SW/NL/2005-995. 3c.NLD.pig.2005
EF372535=HEV/SW/NL/2005-997. 3f.NLD.pig.2005
EF372536=HEV/SW/NL/2005-999. 3c.NLD.pig.2005
EF372537=HEV/SW/NL/2005-1001. 3c.NLD.pig.2005
EF372538=HEV/SW/NL/2005-1006. 3c.NLD.pig.2005
EF372539=HEV/SW/NL/2005-1009. 3a.NLD.pig.2005
EF372540=HEV/SW/NL/2005-1013. 3e.NLD.pig.2005
EF372541=HEV/SW/NL/2005-1014. 3f.NLD.pig.2005
EF372542=HEV/SW/NL/2005-1018. 3c.NLD.pig.2005
EF372543=HEV/SW/NL/2005-1019. 3c.NLD.pig.2005
EF372544=HEV/SW/NL/2005-1023. 3f.NLD.pig.2005
EF372545=HEV/SW/NL/2005-1026. 3c.NLD.pig.2005
EF372546=HEV/SW/NL/2005-1027. 3a.NLD.pig.2005
EF372547=HEV/SW/NL/2005-1028. 3a.NLD.pig.2005
EF372548=HEV/SW/NL/2005-1033. 3a.NLD.pig.2005
EF372549=HEV/SW/NL/2005-1034. 3f.NLD.pig.2005
EF372550=HEV/SW/NL/2005-1036. 3c.NLD.pig.2005
EF372551=HEV/SW/NL/2005-1037. 3f.NLD.pig.2005
EF372552=HEV/SW/NL/2005-1043. 3a.NLD.pig.2005
EF372553=HEV/SW/NL/2005-1044. 3c.NLD.pig.2005
EF372554=HEV/SW/NL/2005-1048. 3a.NLD.pig.2005
EF372555=HEV/SW/NL/2005-1052. 3f.NLD.pig.2005
EF372556=HEV/SW/NL/2005-1055. 3c.NLD.pig.2005
EF372557=HEV/SW/NL/2005-1061. 3f.NLD.pig.2005
EF372558=HEV/SW/NL/2005-1063. 3c.NLD.pig.2005
EF372559=HEV/SW/NL/2005-1065. 3f.NLD.pig.2005
EF372560=HEV/SW/NL/2005-1066. 3f.NLD.pig.2005
EF372561=HEV/SW/NL/2005-1068. 3c.NLD.pig.2005
EF491206=EF491206. 3l.BRA.pig.2003
EF530659=HUN-E19. 3e.HUN.hum
EF530660=HUN-E38. 3e.HUN.hum
EF530665=HUN-E86. 3f.HUN.hum
EF530671=HUN-034. 3a.HUN.pig
EF530672=HUN-038. 3a.HUN.pig
EF530673=HUN-052. 3a.HUN.pig
EF530674=HUN-072. 3e.HUN.pig
EF530675=HUN-006. 3a.HUN.wb
EF530676=HUN-007. 3a.HUN.wb
EF570133=SH-SW-zs1. 4i.CHN.pig.CG
EU035811=108S. 3h.DEU.wb.FIRA
EU035812=118E. 3c.DEU.wb.FIRA
EU035813=119E. 3c.DEU.wb.FIRA
EU035814=149E. 3h.DEU.wb.FIRA
EU035815=12464E. 3h.DEU.wb.FIRA
EU035816=WvdP. 3f.NLD.pig
EU057982=HUN-045. 3e.HUN.deer
EU117407=SWswHEV. 3f.CZE.pig
EU117408=CZswHEV1. 3g.CZE.pig
EU117409=CZswHEV4. 3g.CZE.pig
EU117410=CZswHEV6. 3g.CZE.pig
EU117411=CZswHEV10. 3f.CZE.pig
EU117412=CZswHEV14. 3f.CZE.pig
EU117413=CZswHEV21. 3g.CZE.pig
EU117414=CZswHEV27. 3f.CZE.pig
EU360977=swX07-E1. 3f.SWE.pig.CG
EU366959=swGX32. 4a.CHN.pig.CG
EU375463=Thai-swHEV07. 3f.THA.pig.CG.2006
EU450839=BBCN2.1. 1a.ESP.sewage
EU495107=TLS03. 3f.FRA.hum
EU495109=TLS39. 3b.FRA.hum
EU495110=TLS33. 3f.FRA.hum
EU495113=TLS22. 3f.FRA.hum
EU495118=TLS07. 3f.FRA.hum
EU495120=TLS10. 3f.FRA.hum
EU495131=TLS17. 3f.FRA.hum
EU495134=TLS19. 3f.FRA.hum
EU495136=TLS26. 3f.FRA.hum
EU495142=TLS37. 3f.FRA.hum
EU495143=TLS38. 3e.FRA.hum
EU495144=TLS40. 3h.FRA.hum
EU495145=TLS41. 3c.FRA.hum
EU495146=TLS42. 3e.FRA.hum
EU495148=TLS25. 3f.FRA.hum.CG
EU495149=TLS10. 3f.FRA.hum
EU495156=TLS03. 3f.FRA.hum
EU495160=TLS07. 3f.FRA.hum
EU495163=TLS17. 3f.FRA.hum
EU495168=TLS22. 3f.FRA.hum
EU495171=TLS26. 3f.FRA.hum
EU495176=TLS19. 3f.FRA.hum
EU495180=TLS37. 3f.FRA.hum
EU495184=TLS33. 3f.FRA.hum
EU495186=TLS38. 3e.FRA.hum
EU495187=TLS42. 3e.FRA.hum
EU495188=TLS40. 3h.FRA.hum
EU495189=TLS41. 3c.FRA.hum
EU495190=TLS39. 3b.FRA.hum
EU495192=TLS22. 3f.FRA.hum
EU495195=TLS26. 3f.FRA.hum
EU495200=TLS19. 3f.FRA.hum
EU495201=TLS07. 3f.FRA.hum
EU495210=TLS10. 3f.FRA.hum
EU495216=TLS03. 3f.FRA.hum
EU495218=TLS17. 3f.FRA.hum
EU495220=TLS33. 3f.FRA.hum
EU495226=TLS37. 3f.FRA.hum
EU495228=TLS42. 3e.FRA.hum
EU495229=TLS38. 3e.FRA.hum
EU495230=TLS39. 3b.FRA.hum
EU495231=TLS41. 3c.FRA.hum
EU495232=TLS40. 3h.FRA.hum
EU526606=HEV/SW/NL/2005-980. 3f.NLD.pig
EU526607=HEV/SW/NL/2005-981. 3f.NLD.pig
EU526608=HEV/SW/NL/2005-987. 3f.NLD.pig
EU526609=HEV/SW/NL/2005-989. 3f.NLD.pig
EU526610=HEV/SW/NL/2005-1034. 3f.NLD.pig
EU526611=HEV/SW/NL/2005-1039. 3f.NLD.pig
EU526612=HEV/SW/NL/2005-1049. 3f.NLD.pig
EU526613=HEV/SW/NL/2005-997. 3f.NLD.pig
EU526614=HEV/SW/NL/2005-1052. 3f.NLD.pig
EU526615=HEV/SW/NL/2005-1012. 3f.NLD.pig
EU526616=HEV/SW/NL/2006-325455. 3f.NLD.pig
EU526617=HEV/SW/NL/2005-1065. 3f.NLD.pig
EU526618=HEV/SW/NL/2005-1066. 3f.NLD.pig
EU526619=HEV/SW/NL/2005-1023. 3f.NLD.pig
EU526620=HEV/WATER/NL/2004-182. 3f.NLD.water
EU526621=HEV/SW/NL/2005-1061. 3f.NLD.pig
EU526622=HEV/SW/NL/2005-973. 3f.NLD.pig
